,rod1,rod2,rod3,z_height
1,-3,0,3,1.489127261
2,-3,3,3,2.078460969
3,-3,-3,3,2.093740672
4,-3,0,0,2.445403852
5,-3,3,0,2.630589288
6,0,0,3,2.75635629
7,0,-3,3,2.94002551
8,-3,-3,0,3.072051432
9,0,0,0,3.228776858
10,0,3,3,3.281005943
11,-3,-3,-3,3.432564639
12,0,3,0,3.526861211
13,0,-3,0,3.57176427
14,-3,3,-3,3.644687915
15,3,-3,3,3.700965125
16,-3,0,-3,3.707424982
17,0,-3,-3,3.872337795
18,0,3,-3,4.236301453
19,0,0,-3,4.246006527
20,3,0,3,4.256025141
21,3,0,0,4.490545624
22,3,-3,0,4.598097433
23,3,-3,-3,4.692946835
24,3,3,3,4.732467644
25,3,3,0,4.77035114
26,3,0,-3,5.111873433
27,3,3,-3,5.252380413
